pard_name,match_found
NOVAGENIT SRL,True
Robinson Healthcare Ltd,True
1stQ GmbH,True
2 Eyes Vision S. L.,False
"21 Century Medical Co., Ltd.",True
21D Bioengineering Limited,False
21MC Grup İç ve Dış Tic. Ltd. Şti.,False
"23andMe, Inc.",True
270 Vision Limited,False
2nd Nature Dental Laboratory Ltd,False
2TH Dental Practice,False
3 DENTAL MANUFACTURING LTD,False
"3-Point Products, Inc.",False
313 Visioncare Ltd,False
360 Fabrications Ltd,False
365 Health Solutions ltd,False
3A HEALTH CARE S.r.l.,False
"3A Medical Products Co., Ltd",True
3B BlackBio Biotech India Limited (a subsidiary of Kilpest India Limited),False
3B BlackBio Dx Limited,True
3C-Medical Intelligence GmbH,True
3CPM Company / Endosure Inc,False
"3D Biomedicine Science & Technology Co., Ltd",True
3D Dental Laboratory ltd,False
3D Imaging & Simulation Corp Americas,False
3D LifePrints UK Ltd,False
1987 Media Limited,False
1OSD Limited,False
1STCHOICE DENTAL LABORATORY LTD,False
Novak M d.o.o.,False
Novamed (Europe) limited,False
"3D Systems, Inc.",True
3DHISTECH Kft,False
3DIEMME Srl,False
3M Company 3M Health Care,False
3M Deutschland GmbH Health Care Business,False
3M ESPE Dental Products,False
3M Healthcare Germany GmbH,False
3M United Kingdom PLC,False
3M Unitek Orthodontic Products,False
3Shape A/S,True
3Shape TRIOS A/S,False
3TO GmbH,True
4D Ceramix Dental Lab,False
4D Dental,False
4dentPRO GmbH & Co.KG,False
"4L Health Co., Ltd",True
4S Information Systems Ltd trading as 4S DAWN Clinical Software,False
4WEB EU B.V.,True
"66 Vision Tech Co., Ltd.",True
"66 Vision Tech Co., Ltd.",True
6over6 Vision Ltd.,False
77 Elektronika Kft.,False
7D Surgical ULC,True
A - Line Dental Services,False
A & A  Pretious Dental Laboratory,False
3D Metal Printing Ltd.,False
3D Orthodontics,False
Novarad Corporation,True
A & W Dental Laboratory Ltd,False
A C  DENTAL SERVICES,False
A Ceramics Ltd,False
A D G  Dental Services,False
A G Spreadbury Dental Laboratory,False
A G Stout Optometric Services Ltd,False
A J Gunning Limited,False
A J Rollings Dental Studio Limited,False
A M J Ceramics,False
A ONE M TRADERS LIMITED,False
A P Cargill Chrome Design Ltd,False
A Plus Dental Laboratory,False
A R Cooley LTD,False
A S Dental Lab,False
A-dec Inc,False
A-dec Inc,False
A. Menarini Diagnostics S.r.l,False
A. Menarini Farmaceutica Internazionale SRL,False
A. SCHWEIZER GmbH,True
A.D.P. Dental Laboratory.,False
A.Dougan Dental Laboratory,False
A.E Dental laboratory,False
A.M.I Agency for Medical Innovations GmbH,False
A.R.C. Laser GmbH,True
A.S. Reece Dental Lab,False
A.T.S. Applicazione Tecnologie Speciali srl,False
A.Vogel B.V.,True
A.Vogel Ltd,False
A/S Orthana Kemisk Fabrik,True
A&D Company Limited,False
A & I Lask Opticians,False
A & J Brown Optical,False
Novartis Pharma AG,True
Robinson Optics Limited,False
"A&N Dental Laboratory,A&N Valuedent ltd,The Denture Shop",False
A&S Elite dental Laboratory,False
A&S Moore Limited,False
A1 Aesthetics Laboratory Ltd,False
A1 Pharmaceuticals PLC,False
A3P Biomedical AB (publ),False
AAA DENTALAB LTD,False
"Aalto Scientific, Ltd.",False
Aaron Optometrists Ltd,False
AAT Alber Antriebstechnik GmbH,True
AB DENTAL LABORATORY,False
AB Germa,True
"AB Medica Group, S.A. - LESSA",False
ab medica s.p.a.,False
ab medica sas,True
AB Sciex Pte. Ltd.,True
AB-CT - Advanced Breast-CT GmbH,True
Abanza Tecnomed S.L.,False
Abatron Limited,False
"Abaxis, Inc.",True
ABBE TRADING COMPANY LTD,False
Abbexa Ltd,False
ABBEY GRANGE DENTAL LABORATORY,False
Abbey Laboratory Ltd,False
Abbot Dental Laboratory,False
Abbot Opticians,False
Abbott Dental Laboratory,False
Abbott Diabetes Care Ltd,False
A&G DENTURES LTD,False
A&J Dental Prosthetics Ltd (Birmingham),False
NovaSpine SAS,False
Novastep SAS,False
Abbott Diagnostics Technologies AS,True
Abbott GmbH,True
Abbott Ireland,True
Abbott Ireland Diagnostics Division,True
Abbott Ireland Diagnostics Division,True
Abbott Laboratories,True
Abbott Laboratories,True
Abbott Laboratories,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Abbott Medical,True
Active Design Limited,False
"Abbott Diagnostics Medical Co., Ltd.",False
"Abbott Diagnostics Scarborough, Inc.",True
NOVATECH SA,False
novavision group s.p.a.,False
Novax Pharma,False
"Danyang Rapid Aid Hot And Cold Therapy Products Co., Ltd",True
DDM Health Ltd,False
Defence Dental Centre,False
Hockerill Dental Bishop Stortford,False
IO DONCASTER LIMITED,False
MALVESTIO S.p.A.,False
Meadowbank Dental Practice,False
NRT X-Ray A/S,False
PolyMedics Innovations GmbH,True
Radux  Devices LLC,False
Sadler Dental Care (Paterson and Sadler Ltd),False
"Sakura Seiki Co., Ltd.",True
"Seigla Medical, Inc.",True
SKYLA CORPORATION HSINCHU SCIENCE PARK BRANCH,True
"SunTech Medical, Inc.",False
Technolas Perfect Vision GmbH,True
The Nightingale Clinic,False
TidalSense Limited,True
yoursciencebc limited,False
"Zhuhai Pusen Medical Technology Co., Ltd.",False
"Zhuhai Zhi Li Battery Co., Ltd.",False
Active Dental Laboratory Ltd,False
6D Tape Inc,False
BYD Auto Industry Company Limited,False
"Cortex Manufacturing, LLC",False
Novel,False
NOVENTURE S.L.,False
Abbott Molecular Inc.,True
Abbott Point of Care,True
Abbott Rapid Diagnostics Jena GmbH,True
Abbott S.r.I,False
Abbott Toxicology Ltd,False
Abbott Vascular,True
AbbVie Inc,True
Abby Louise Dental Laboratory,False
ABC Dental Laboratory Limited,False
ABC OPTICAL LTD,False
ABDOS Labtech Pvt. LTD.,False
Abena A/S,True
Abena AB,False
abergavenny dental laboratory,False
Abigo Medical AB,True
Abilia AB,True
Abingdon Health Plc,False
"Abiomed, Inc.",True
"Abiores Technology (Beijing) Co., Ltd.",False
"Ablative Solutions, Inc.",False
Ablatus Therapeutics,False
ABLE Human Motion S.L.,False
"AbleNet, Inc.",False
The Dental Workshop Ltd,False
Abbott Medical Costa Rica Ltda,False
Abbott Medical UK Limited,False
Novian Health Inc,False
Novo Nordisk A/S,True
Novo Nordisk Limited,False
Novobrush GmBH,True
Abrasive Technology LLC,False
Absorbest AB,False
Abtech Safety Limited,False
Abtrace Limited,False
AC Aircontrols GmbH,False
Acandis GmbH,False
"Acare Medical Science Co., Ltd.",True
Acarix A/S,True
Accel-Heal Technologies Limited,False
"Accelerate Diagnostics, Inc.",False
Accellerate Limited,False
Access Point Technologies EP Inc.,True
Access Radiotherapy Ltd,False
Accora Limited,True
Accrington Surgical Instrument Supplies Ltd,False
Accriva Diagnostics,False
Accro Clearline Ltd,False
Accubio Limited,True
Accurate Dental Laboratory,False
Accutron Inc.,False
The Dentalab,False
Abraham Blacksmith,False
Abraham Blacksmith Ltd,False
Absolute Dental,False
Accuray Incorporated,True
Novocure GmbH,False
Novodent SA,True
ACE Medical Devices Pvt Ltd,False
Ace Orthotics Ltd,True
