pard_name,exact_match,fuzzy_match,match_score,best_match
NOVAGENIT SRL,True,True,100,novagenit srl
Robinson Healthcare Ltd,True,True,100,robinson healthcare
1stQ GmbH,False,False,57,s t
2 Eyes Vision S. L.,False,False,67,vin dore 24k s l
"21 Century Medical Co., Ltd.",True,True,100,21 century medical co
21D Bioengineering Limited,False,False,70,p and g engineering
21MC Grup İç ve Dış Tic. Ltd. Şti.,False,False,64,anka sağlık gereçleri san i̇ç ve dış tic ltd şti
"23andMe, Inc.",True,True,100,23andme
270 Vision Limited,False,False,74,vision rt
2nd Nature Dental Laboratory Ltd,False,False,62,tin lok dongguan dental laboratory co
2TH Dental Practice,False,False,67,zirc dental products
3 DENTAL MANUFACTURING LTD,False,True,88,dental manufacturing s p a
"3-Point Products, Inc.",False,False,81,pi products
313 Visioncare Ltd,False,False,79,ast visioncare
360 Fabrications Ltd,False,False,59,fabricados triton s l
365 Health Solutions ltd,True,True,100,365 health solutions
3A HEALTH CARE S.r.l.,True,True,100,3a health care s r l
"3A Medical Products Co., Ltd",False,True,86,lch medical products
3B BlackBio Biotech India Limited (a subsidiary of Kilpest India Limited),False,False,47,jiangsu sensida biotechnology co ltd
3B BlackBio Dx Limited,True,True,100,3b blackbio dx
3C-Medical Intelligence GmbH,True,True,100,3c medical intelligence
3CPM Company / Endosure Inc,False,False,65,nanum company co
"3D Biomedicine Science & Technology Co., Ltd",True,True,100,3d biomedicine science technology co
3D Dental Laboratory ltd,False,False,67,helena laboratories
3D Imaging & Simulation Corp Americas,False,False,63,casis cardiac simulation imaging software
3D LifePrints UK Ltd,False,False,59,medicept uk
1987 Media Limited,False,False,67,a medica
1OSD Limited,False,False,57,sdi
1STCHOICE DENTAL LABORATORY LTD,False,False,69,aesthetic experts laboratory
Novak M d.o.o.,False,False,72,mediva d o o
Novamed (Europe) limited,True,True,100,novamed europe
"3D Systems, Inc.",True,True,100,3d systems
3DHISTECH Kft,True,True,100,3dhistech kft
3DIEMME Srl,True,True,100,3diemme srl
3M Company 3M Health Care,False,False,74,help care company aps
3M Deutschland GmbH Health Care Business,False,False,69,3m deutschland gmbh medical
3M ESPE Dental Products,False,True,85,3m company espe dental products
3M Healthcare Germany GmbH,False,False,84,d med healthcare germany
3M United Kingdom PLC,True,True,100,3m united kingdom plc
3M Unitek Orthodontic Products,False,False,78,reliance orthodontic products
3Shape A/S,True,True,100,3shape a s
3Shape TRIOS A/S,True,True,100,3shape trios a s
3TO GmbH,False,False,67,top
4D Ceramix Dental Lab,False,False,69,j b implant and dental ceramics
